types,hits,like
Healthcare and Fitness,0.0133281257628,0.0103244837758
LifeStyle,0.0154945564615,0.0117994100295
News,0.0166418493385,0.0162241887906
Medical,0.0191042571889,0.0147492625369
Education,0.0212066103598,0.0176991150442
Finance,0.0214079968755,0.0250737463127
Travel,0.0214537665381,0.0147492625369
Reference,0.0216826148513,0.0147492625369
Navigat,0.0234340672753,0.0265486725664
Books,0.0289172728604,0.023598820059
Sport,0.0293414050676,0.0162241887906
Business,0.0298357174242,0.0294985250737
Social,0.0304154664844,0.0162241887906
Entertain,0.0399538641801,0.0383480825959
Games,0.0438198750183,0.0339233038348
Utilities,0.0573280281209,0.0457227138643
Productivity,0.0925554118049,0.117994100295
Fotographie,0.108053019577,0.119469026549
Music,0.166732778402,0.184365781711
Weather,0.199293316409,0.222713864307
